b'doubleTwelveTaskFragmentReceived:_765702',b'3' 
b'doubleTwelveTaskFragmentReceived:_326119',b'13' 
b'doubleTwelveTaskFragmentReceived:_748146',b'14' 
b'doubleTwelveTaskFragmentReceived:_991943',b'6' 
b'doubleTwelveTaskFragmentReceived:_198534',b'6' 
b'doubleTwelveTaskFragmentReceived:_313440',b'4' 
b'doubleTwelveTaskFragmentReceived:_496595',b'8' 
b'doubleTwelveTaskFragmentReceived:_438396',b'9' 
b'doubleTwelveTaskFragmentReceived:_501734',b'12' 
b'doubleTwelveTaskFragmentReceived:_479234',b'10' 
b'doubleTwelveTaskFragmentReceived:_1019761',b'3' 
b'doubleTwelveTaskFragmentReceived:_87748',b'3' 
b'doubleTwelveTaskFragmentReceived:_99904',b'3' 
b'doubleTwelveTaskFragmentReceived:_212921',b'2' 
b'doubleTwelveTaskFragmentReceived:_64337',b'11' 
b'doubleTwelveTaskFragmentReceived:_739332',b'3' 
b'doubleTwelveTaskFragmentReceived:_63046',b'3' 
b'doubleTwelveTaskFragmentReceived:_227857',b'10' 
b'doubleTwelveTaskFragmentReceived:_688560',b'6' 
b'doubleTwelveTaskFragmentReceived:_112958',b'3' 
b'doubleTwelveTaskFragmentReceived:_377337',b'2' 
b'doubleTwelveTaskFragmentReceived:_262981',b'15' 
b'doubleTwelveTaskFragmentReceived:_983252',b'9' 
b'doubleTwelveTaskFragmentReceived:_255856',b'6' 
b'doubleTwelveTaskFragmentReceived:_393191',b'5' 
b'doubleTwelveTaskFragmentReceived:_596545',b'6' 
b'doubleTwelveTaskFragmentReceived:_669671',b'9' 
b'doubleTwelveTaskFragmentReceived:_519223',b'18' 
b'doubleTwelveTaskFragmentReceived:_847868',b'9' 
b'doubleTwelveTaskFragmentReceived:_708634',b'3' 
b'doubleTwelveTaskFragmentReceived:_458209',b'9' 
b'doubleTwelveTaskFragmentReceived:_842869',b'6' 
b'doubleTwelveTaskFragmentReceived:_543144',b'3' 
b'doubleTwelveTaskFragmentReceived:_853219',b'15' 
b'doubleTwelveTaskFragmentReceived:_834524',b'8' 
b'doubleTwelveTaskFragmentReceived:_289081',b'11' 
b'doubleTwelveTaskFragmentReceived:_891074',b'14' 
b'doubleTwelveTaskFragmentReceived:_1056440',b'3' 
b'doubleTwelveTaskFragmentReceived:_694768',b'3' 
b'doubleTwelveTaskFragmentReceived:_482235',b'3' 
b'doubleTwelveTaskFragmentReceived:_204635',b'4' 
b'doubleTwelveTaskFragmentReceived:_711778',b'12' 
b'doubleTwelveTaskFragmentReceived:_367727',b'3' 
b'doubleTwelveTaskFragmentReceived:_200656',b'15' 
b'doubleTwelveTaskFragmentReceived:_148236',b'3' 
b'doubleTwelveTaskFragmentReceived:_887646',b'3' 
b'doubleTwelveTaskFragmentReceived:_1067077',b'8' 
b'doubleTwelveTaskFragmentReceived:_422342',b'6' 
b'doubleTwelveTaskFragmentReceived:_588163',b'9' 
b'doubleTwelveTaskFragmentReceived:_586475',b'14' 
b'doubleTwelveTaskFragmentReceived:_713966',b'15' 
b'doubleTwelveTaskFragmentReceived:_2055',b'3' 
b'doubleTwelveTaskFragmentReceived:_466736',b'9' 
b'doubleTwelveTaskFragmentReceived:_845368',b'3' 
b'doubleTwelveTaskFragmentReceived:_280308',b'9' 
b'doubleTwelveTaskFragmentReceived:_866471',b'11' 
b'doubleTwelveTaskFragmentReceived:_901307',b'15' 
b'doubleTwelveTaskFragmentReceived:_1008095',b'4' 
b'doubleTwelveTaskFragmentReceived:_821592',b'3' 
b'doubleTwelveTaskFragmentReceived:_360585',b'4' 
b'doubleTwelveTaskFragmentReceived:_1010232',b'6' 
b'doubleTwelveTaskFragmentReceived:_258867',b'3' 
b'doubleTwelveTaskFragmentReceived:_422459',b'3' 
b'doubleTwelveTaskFragmentReceived:_584336',b'12' 
b'doubleTwelveTaskFragmentReceived:_272391',b'5' 
b'doubleTwelveTaskFragmentReceived:_487134',b'11' 
b'doubleTwelveTaskFragmentReceived:_895259',b'6' 
b'doubleTwelveTaskFragmentReceived:_944839',b'6' 
b'doubleTwelveTaskFragmentReceived:_97064',b'5' 
b'doubleTwelveTaskFragmentReceived:_544759',b'4' 
b'doubleTwelveTaskFragmentReceived:_768138',b'6' 
b'doubleTwelveTaskFragmentReceived:_270254',b'6' 
b'doubleTwelveTaskFragmentReceived:_556326',b'13' 
b'doubleTwelveTaskFragmentReceived:_1024661',b'3' 
b'doubleTwelveTaskFragmentReceived:_325820',b'17' 
b'doubleTwelveTaskFragmentReceived:_928498',b'3' 
b'doubleTwelveTaskFragmentReceived:_960434',b'15' 
b'doubleTwelveTaskFragmentReceived:_179924',b'9' 
b'doubleTwelveTaskFragmentReceived:_12267',b'15' 
b'doubleTwelveTaskFragmentReceived:_1055074',b'3' 
b'doubleTwelveTaskFragmentReceived:_835371',b'15' 
b'doubleTwelveTaskFragmentReceived:_267698',b'3' 
b'doubleTwelveTaskFragmentReceived:_587183',b'5' 
b'doubleTwelveTaskFragmentReceived:_1069674',b'3' 
b'doubleTwelveTaskFragmentReceived:_151977',b'15' 
b'doubleTwelveTaskFragmentReceived:_956133',b'5' 
b'doubleTwelveTaskFragmentReceived:_24160',b'3' 
b'doubleTwelveTaskFragmentReceived:_1087437',b'3' 
b'doubleTwelveTaskFragmentReceived:_966882',b'3' 
b'doubleTwelveTaskFragmentReceived:_1013973',b'9' 
b'doubleTwelveTaskFragmentReceived:_844780',b'3' 
b'doubleTwelveTaskFragmentReceived:_836243',b'5' 
b'doubleTwelveTaskFragmentReceived:_355638',b'6' 
b'doubleTwelveTaskFragmentReceived:_78273',b'3' 
b'doubleTwelveTaskFragmentReceived:_136492',b'2' 
b'doubleTwelveTaskFragmentReceived:_738651',b'10' 
b'doubleTwelveTaskFragmentReceived:_452143',b'2' 
b'doubleTwelveTaskFragmentReceived:_1079713',b'3' 
b'doubleTwelveTaskFragmentReceived:_295151',b'3' 
b'doubleTwelveTaskFragmentReceived:_78676',b'3' 
b'doubleTwelveTaskFragmentReceived:_611577',b'17' 
b'doubleTwelveTaskFragmentReceived:_604283',b'12' 
b'doubleTwelveTaskFragmentReceived:_967585',b'15' 
b'doubleTwelveTaskFragmentReceived:_235224',b'6' 
b'doubleTwelveTaskFragmentReceived:_944430',b'6' 
b'doubleTwelveTaskFragmentReceived:_118751',b'9' 
b'doubleTwelveTaskFragmentReceived:_482308',b'3' 
b'doubleTwelveTaskFragmentReceived:_698901',b'3' 
b'doubleTwelveTaskFragmentReceived:_565033',b'6' 
b'doubleTwelveTaskFragmentReceived:_828067',b'3' 
b'doubleTwelveTaskFragmentReceived:_49186',b'2' 
b'doubleTwelveTaskFragmentReceived:_797755',b'4' 
b'doubleTwelveTaskFragmentReceived:_398137',b'15' 
b'doubleTwelveTaskFragmentReceived:_601767',b'3' 
b'doubleTwelveTaskFragmentReceived:_590259',b'3' 
b'doubleTwelveTaskFragmentReceived:_1031674',b'6' 
b'doubleTwelveTaskFragmentReceived:_995175',b'3' 
b'doubleTwelveTaskFragmentReceived:_984555',b'3' 
b'doubleTwelveTaskFragmentReceived:_678418',b'6' 
b'doubleTwelveTaskFragmentReceived:_819121',b'10' 
b'doubleTwelveTaskFragmentReceived:_61949',b'12' 
b'doubleTwelveTaskFragmentReceived:_323852',b'15' 
b'doubleTwelveTaskFragmentReceived:_1003018',b'3' 
b'doubleTwelveTaskFragmentReceived:_956380',b'3' 
b'doubleTwelveTaskFragmentReceived:_880393',b'3' 
b'doubleTwelveTaskFragmentReceived:_382888',b'11' 
b'doubleTwelveTaskFragmentReceived:_181796',b'11' 
b'doubleTwelveTaskFragmentReceived:_909198',b'18' 
b'doubleTwelveTaskFragmentReceived:_823719',b'11' 
b'doubleTwelveTaskFragmentReceived:_994158',b'3' 
b'doubleTwelveTaskFragmentReceived:_950291',b'8' 
b'doubleTwelveTaskFragmentReceived:_1060406',b'3' 
b'doubleTwelveTaskFragmentReceived:_911239',b'15' 
b'doubleTwelveTaskFragmentReceived:_484311',b'9' 
b'doubleTwelveTaskFragmentReceived:_554950',b'3' 
b'doubleTwelveTaskFragmentReceived:_591329',b'15' 
b'doubleTwelveTaskFragmentReceived:_1050609',b'6' 
b'doubleTwelveTaskFragmentReceived:_612631',b'6' 
b'doubleTwelveTaskFragmentReceived:_974707',b'10' 
b'doubleTwelveTaskFragmentReceived:_242666',b'6' 
b'doubleTwelveTaskFragmentReceived:_416662',b'3' 
b'doubleTwelveTaskFragmentReceived:_175886',b'6' 
b'doubleTwelveTaskFragmentReceived:_792800',b'6' 
b'doubleTwelveTaskFragmentReceived:_225640',b'3' 
b'doubleTwelveTaskFragmentReceived:_1030481',b'3' 
b'doubleTwelveTaskFragmentReceived:_511410',b'15' 
b'doubleTwelveTaskFragmentReceived:_659994',b'11' 
b'doubleTwelveTaskFragmentReceived:_456326',b'2' 
b'doubleTwelveTaskFragmentReceived:_798593',b'6' 
b'doubleTwelveTaskFragmentReceived:_1037678',b'3' 
b'doubleTwelveTaskFragmentReceived:_874402',b'8' 
b'doubleTwelveTaskFragmentReceived:_1023526',b'5' 
b'doubleTwelveTaskFragmentReceived:_1059379',b'6' 
b'doubleTwelveTaskFragmentReceived:_268253',b'3' 
b'doubleTwelveTaskFragmentReceived:_782325',b'9' 
b'doubleTwelveTaskFragmentReceived:_495567',b'3' 
b'doubleTwelveTaskFragmentReceived:_247721',b'2' 
b'doubleTwelveTaskFragmentReceived:_990017',b'3' 
b'doubleTwelveTaskFragmentReceived:_691483',b'12' 
b'doubleTwelveTaskFragmentReceived:_867538',b'13' 
b'doubleTwelveTaskFragmentReceived:_1082738',b'3' 
b'doubleTwelveTaskFragmentReceived:_763216',b'17' 
b'doubleTwelveTaskFragmentReceived:_1038614',b'6' 
b'doubleTwelveTaskFragmentReceived:_471460',b'17' 
b'doubleTwelveTaskFragmentReceived:_600443',b'14' 
b'doubleTwelveTaskFragmentReceived:_297135',b'13' 
b'doubleTwelveTaskFragmentReceived:_1080320',b'6' 
b'doubleTwelveTaskFragmentReceived:_829875',b'7' 
b'doubleTwelveTaskFragmentReceived:_1086320',b'6' 
b'doubleTwelveTaskFragmentReceived:_949125',b'3' 
b'doubleTwelveTaskFragmentReceived:_1040495',b'3' 
b'doubleTwelveTaskFragmentReceived:_11893',b'15' 
b'doubleTwelveTaskFragmentReceived:_434725',b'14' 
b'doubleTwelveTaskFragmentReceived:_955875',b'11' 
b'doubleTwelveTaskFragmentReceived:_645958',b'11' 
b'doubleTwelveTaskFragmentReceived:_318258',b'6' 
b'doubleTwelveTaskFragmentReceived:_850173',b'15' 
b'doubleTwelveTaskFragmentReceived:_919938',b'3' 
b'doubleTwelveTaskFragmentReceived:_505386',b'10' 
b'doubleTwelveTaskFragmentReceived:_932202',b'3' 
b'doubleTwelveTaskFragmentReceived:_985260',b'3' 
b'doubleTwelveTaskFragmentReceived:_469373',b'3' 
b'doubleTwelveTaskFragmentReceived:_824331',b'8' 
b'doubleTwelveTaskFragmentReceived:_196480',b'3' 
b'doubleTwelveTaskFragmentReceived:_29847',b'8' 
b'doubleTwelveTaskFragmentReceived:_297050',b'8' 
b'doubleTwelveTaskFragmentReceived:_169677',b'2' 
b'doubleTwelveTaskFragmentReceived:_589042',b'11' 
b'doubleTwelveTaskFragmentReceived:_611854',b'9' 
b'doubleTwelveTaskFragmentReceived:_1079513',b'3' 
b'doubleTwelveTaskFragmentReceived:_619230',b'6' 
b'doubleTwelveTaskFragmentReceived:_939636',b'12' 
b'doubleTwelveTaskFragmentReceived:_739041',b'2' 
b'doubleTwelveTaskFragmentReceived:_879059',b'9' 
b'doubleTwelveTaskFragmentReceived:_600086',b'9' 
b'doubleTwelveTaskFragmentReceived:_795185',b'8' 
b'doubleTwelveTaskFragmentReceived:_407048',b'15' 
b'doubleTwelveTaskFragmentReceived:_270749',b'15' 
b'doubleTwelveTaskFragmentReceived:_837261',b'17' 
b'doubleTwelveTaskFragmentReceived:_780155',b'9' 
b'doubleTwelveTaskFragmentReceived:_73471',b'3' 
b'doubleTwelveTaskFragmentReceived:_791578',b'17' 
b'doubleTwelveTaskFragmentReceived:_102280',b'6' 
b'doubleTwelveTaskFragmentReceived:_895712',b'2' 
b'doubleTwelveTaskFragmentReceived:_295030',b'7' 
b'doubleTwelveTaskFragmentReceived:_289658',b'3' 
b'doubleTwelveTaskFragmentReceived:_1063115',b'3' 
b'doubleTwelveTaskFragmentReceived:_719767',b'12' 
b'doubleTwelveTaskFragmentReceived:_185754',b'12' 
b'doubleTwelveTaskFragmentReceived:_1016633',b'9' 
b'doubleTwelveTaskFragmentReceived:_1013004',b'3' 
b'doubleTwelveTaskFragmentReceived:_731914',b'17' 
b'doubleTwelveTaskFragmentReceived:_1017467',b'3' 
b'doubleTwelveTaskFragmentReceived:_119323',b'9' 
b'doubleTwelveTaskFragmentReceived:_905931',b'5' 
b'doubleTwelveTaskFragmentReceived:_1019532',b'11' 
b'doubleTwelveTaskFragmentReceived:_601237',b'15' 
b'doubleTwelveTaskFragmentReceived:_10181',b'8' 
b'doubleTwelveTaskFragmentReceived:_257317',b'3' 
b'doubleTwelveTaskFragmentReceived:_894118',b'9' 
b'doubleTwelveTaskFragmentReceived:_241246',b'6' 
b'doubleTwelveTaskFragmentReceived:_107032',b'11' 
b'doubleTwelveTaskFragmentReceived:_859220',b'3' 
b'doubleTwelveTaskFragmentReceived:_155613',b'2' 
b'doubleTwelveTaskFragmentReceived:_876631',b'15' 
b'doubleTwelveTaskFragmentReceived:_214843',b'3' 
b'doubleTwelveTaskFragmentReceived:_1056308',b'9' 
b'doubleTwelveTaskFragmentReceived:_1018181',b'9' 
b'doubleTwelveTaskFragmentReceived:_719925',b'15' 
b'doubleTwelveTaskFragmentReceived:_426806',b'2' 
b'doubleTwelveTaskFragmentReceived:_271410',b'6' 
b'doubleTwelveTaskFragmentReceived:_863402',b'6' 
b'doubleTwelveTaskFragmentReceived:_210319',b'9' 
b'doubleTwelveTaskFragmentReceived:_945463',b'15' 
b'doubleTwelveTaskFragmentReceived:_101966',b'9' 
b'doubleTwelveTaskFragmentReceived:_124820',b'6' 
b'doubleTwelveTaskFragmentReceived:_115920',b'3' 
b'doubleTwelveTaskFragmentReceived:_197664',b'2' 
b'doubleTwelveTaskFragmentReceived:_995984',b'5' 
b'doubleTwelveTaskFragmentReceived:_646971',b'2' 
b'doubleTwelveTaskFragmentReceived:_925619',b'5' 
b'doubleTwelveTaskFragmentReceived:_650737',b'2' 
b'doubleTwelveTaskFragmentReceived:_317743',b'3' 
b'doubleTwelveTaskFragmentReceived:_153299',b'12' 
b'doubleTwelveTaskFragmentReceived:_555082',b'3' 
b'doubleTwelveTaskFragmentReceived:_878968',b'6' 
b'doubleTwelveTaskFragmentReceived:_978328',b'3' 
b'doubleTwelveTaskFragmentReceived:_1004454',b'5' 
b'doubleTwelveTaskFragmentReceived:_38860',b'3' 
b'doubleTwelveTaskFragmentReceived:_109536',b'12' 
b'doubleTwelveTaskFragmentReceived:_432963',b'5' 
b'doubleTwelveTaskFragmentReceived:_792605',b'6' 
b'doubleTwelveTaskFragmentReceived:_964094',b'13' 
b'doubleTwelveTaskFragmentReceived:_1070512',b'3' 
b'doubleTwelveTaskFragmentReceived:_182630',b'3' 
b'doubleTwelveTaskFragmentReceived:_28410',b'2' 
b'doubleTwelveTaskFragmentReceived:_1057179',b'6' 
b'doubleTwelveTaskFragmentReceived:_67044',b'15' 
b'doubleTwelveTaskFragmentReceived:_667637',b'12' 
b'doubleTwelveTaskFragmentReceived:_1054420',b'3' 
b'doubleTwelveTaskFragmentReceived:_936182',b'3' 
b'doubleTwelveTaskFragmentReceived:_444600',b'9' 
b'doubleTwelveTaskFragmentReceived:_465708',b'3' 
b'doubleTwelveTaskFragmentReceived:_6067',b'6' 
b'doubleTwelveTaskFragmentReceived:_373957',b'6' 
b'doubleTwelveTaskFragmentReceived:_1070118',b'6' 
b'doubleTwelveTaskFragmentReceived:_1061379',b'3' 
b'doubleTwelveTaskFragmentReceived:_986241',b'3' 
b'doubleTwelveTaskFragmentReceived:_932054',b'3' 
b'doubleTwelveTaskFragmentReceived:_184444',b'3' 
b'doubleTwelveTaskFragmentReceived:_641300',b'5' 
b'doubleTwelveTaskFragmentReceived:_797469',b'6' 
b'doubleTwelveTaskFragmentReceived:_442168',b'3' 
b'doubleTwelveTaskFragmentReceived:_502663',b'17' 
b'doubleTwelveTaskFragmentReceived:_898714',b'5' 
b'doubleTwelveTaskFragmentReceived:_466171',b'3' 
b'doubleTwelveTaskFragmentReceived:_981660',b'3' 
b'doubleTwelveTaskFragmentReceived:_998872',b'6' 
b'doubleTwelveTaskFragmentReceived:_558520',b'6' 
b'doubleTwelveTaskFragmentReceived:_883329',b'6' 
b'doubleTwelveTaskFragmentReceived:_881205',b'15' 
b'doubleTwelveTaskFragmentReceived:_601075',b'6' 
b'doubleTwelveTaskFragmentReceived:_971016',b'10' 
b'doubleTwelveTaskFragmentReceived:_1054620',b'3' 
b'doubleTwelveTaskFragmentReceived:_1041429',b'8' 
b'doubleTwelveTaskFragmentReceived:_81182',b'17' 
b'doubleTwelveTaskFragmentReceived:_920195',b'4' 
b'doubleTwelveTaskFragmentReceived:_763459',b'3' 
b'doubleTwelveTaskFragmentReceived:_867911',b'3' 
b'doubleTwelveTaskFragmentReceived:_120808',b'3' 
b'doubleTwelveTaskFragmentReceived:_906584',b'6' 
b'doubleTwelveTaskFragmentReceived:_1072350',b'6' 
b'doubleTwelveTaskFragmentReceived:_877452',b'3' 
b'doubleTwelveTaskFragmentReceived:_657726',b'9' 
b'doubleTwelveTaskFragmentReceived:_292593',b'15' 
b'doubleTwelveTaskFragmentReceived:_1051308',b'3' 
b'doubleTwelveTaskFragmentReceived:_999208',b'4' 
b'doubleTwelveTaskFragmentReceived:_586414',b'3' 
b'doubleTwelveTaskFragmentReceived:_320484',b'3' 
b'doubleTwelveTaskFragmentReceived:_586343',b'13' 
b'doubleTwelveTaskFragmentReceived:_559304',b'10' 
b'doubleTwelveTaskFragmentReceived:_9687',b'13' 
b'doubleTwelveTaskFragmentReceived:_92043',b'3' 
b'doubleTwelveTaskFragmentReceived:_108226',b'5' 
b'doubleTwelveTaskFragmentReceived:_595904',b'15' 
b'doubleTwelveTaskFragmentReceived:_1090311',b'6' 
b'doubleTwelveTaskFragmentReceived:_801406',b'12' 
b'doubleTwelveTaskFragmentReceived:_1087341',b'3' 
b'doubleTwelveTaskFragmentReceived:_195871',b'3' 
b'doubleTwelveTaskFragmentReceived:_207457',b'2' 
b'doubleTwelveTaskFragmentReceived:_1087689',b'3' 
b'doubleTwelveTaskFragmentReceived:_174238',b'8' 
b'doubleTwelveTaskFragmentReceived:_1039537',b'3' 
b'doubleTwelveTaskFragmentReceived:_835486',b'3' 
b'doubleTwelveTaskFragmentReceived:_200154',b'4' 
b'doubleTwelveTaskFragmentReceived:_755445',b'8' 
b'doubleTwelveTaskFragmentReceived:_970292',b'12' 
b'doubleTwelveTaskFragmentReceived:_694821',b'6' 
b'doubleTwelveTaskFragmentReceived:_211859',b'15' 
b'doubleTwelveTaskFragmentReceived:_968264',b'15' 
b'doubleTwelveTaskFragmentReceived:_167149',b'2' 
b'doubleTwelveTaskFragmentReceived:_142566',b'10' 
b'doubleTwelveTaskFragmentReceived:_756751',b'9' 
b'doubleTwelveTaskFragmentReceived:_514771',b'15' 
b'doubleTwelveTaskFragmentReceived:_782567',b'3' 
b'doubleTwelveTaskFragmentReceived:_993940',b'3' 
b'doubleTwelveTaskFragmentReceived:_1043568',b'3' 
b'doubleTwelveTaskFragmentReceived:_665509',b'6' 
b'doubleTwelveTaskFragmentReceived:_762613',b'6' 
b'doubleTwelveTaskFragmentReceived:_1058950',b'3' 
b'doubleTwelveTaskFragmentReceived:_267720',b'13' 
b'doubleTwelveTaskFragmentReceived:_336162',b'6' 
b'doubleTwelveTaskFragmentReceived:_1017513',b'9' 
b'doubleTwelveTaskFragmentReceived:_225443',b'3' 
b'doubleTwelveTaskFragmentReceived:_449773',b'3' 
b'doubleTwelveTaskFragmentReceived:_925596',b'15' 
b'doubleTwelveTaskFragmentReceived:_353014',b'7' 
b'doubleTwelveTaskFragmentReceived:_190562',b'2' 
b'doubleTwelveTaskFragmentReceived:_27482',b'3' 
b'doubleTwelveTaskFragmentReceived:_749035',b'3' 
b'doubleTwelveTaskFragmentReceived:_719919',b'8' 
b'doubleTwelveTaskFragmentReceived:_817527',b'7' 
b'doubleTwelveTaskFragmentReceived:_211613',b'3' 
b'doubleTwelveTaskFragmentReceived:_840284',b'6' 
b'doubleTwelveTaskFragmentReceived:_488012',b'6' 
b'doubleTwelveTaskFragmentReceived:_613919',b'3' 
b'doubleTwelveTaskFragmentReceived:_853122',b'11' 
b'doubleTwelveTaskFragmentReceived:_930273',b'14' 
b'doubleTwelveTaskFragmentReceived:_980052',b'6' 
b'doubleTwelveTaskFragmentReceived:_498621',b'4' 
b'doubleTwelveTaskFragmentReceived:_594521',b'15' 
b'doubleTwelveTaskFragmentReceived:_560927',b'9' 
b'doubleTwelveTaskFragmentReceived:_847161',b'6' 
b'doubleTwelveTaskFragmentReceived:_255679',b'9' 
b'doubleTwelveTaskFragmentReceived:_1008612',b'3' 
b'doubleTwelveTaskFragmentReceived:_153252',b'6' 
b'doubleTwelveTaskFragmentReceived:_934807',b'3' 
b'doubleTwelveTaskFragmentReceived:_774305',b'15' 
b'doubleTwelveTaskFragmentReceived:_252675',b'14' 
b'doubleTwelveTaskFragmentReceived:_655750',b'2' 
b'doubleTwelveTaskFragmentReceived:_35186',b'17' 
b'doubleTwelveTaskFragmentReceived:_20481',b'5' 
b'doubleTwelveTaskFragmentReceived:_906834',b'9' 
b'doubleTwelveTaskFragmentReceived:_650747',b'3' 
b'doubleTwelveTaskFragmentReceived:_835401',b'12' 
b'doubleTwelveTaskFragmentReceived:_241159',b'7' 
b'doubleTwelveTaskFragmentReceived:_467152',b'17' 
b'doubleTwelveTaskFragmentReceived:_285957',b'6' 
b'doubleTwelveTaskFragmentReceived:_119658',b'4' 
b'doubleTwelveTaskFragmentReceived:_997912',b'5' 
b'doubleTwelveTaskFragmentReceived:_905679',b'12' 
b'doubleTwelveTaskFragmentReceived:_699681',b'17' 
b'doubleTwelveTaskFragmentReceived:_958623',b'3' 
b'doubleTwelveTaskFragmentReceived:_840019',b'15' 
b'doubleTwelveTaskFragmentReceived:_798786',b'15' 
b'doubleTwelveTaskFragmentReceived:_871703',b'4' 
b'doubleTwelveTaskFragmentReceived:_847636',b'6' 
b'doubleTwelveTaskFragmentReceived:_981637',b'9' 
b'doubleTwelveTaskFragmentReceived:_274192',b'21' 
b'doubleTwelveTaskFragmentReceived:_922830',b'6' 
b'doubleTwelveTaskFragmentReceived:_953959',b'6' 
b'doubleTwelveTaskFragmentReceived:_833972',b'5' 
b'doubleTwelveTaskFragmentReceived:_82212',b'3' 
b'doubleTwelveTaskFragmentReceived:_1040193',b'5' 
b'doubleTwelveTaskFragmentReceived:_1015782',b'3' 
b'doubleTwelveTaskFragmentReceived:_276118',b'12' 
b'doubleTwelveTaskFragmentReceived:_440255',b'11' 
b'doubleTwelveTaskFragmentReceived:_716318',b'3' 
b'doubleTwelveTaskFragmentReceived:_1063056',b'5' 
b'doubleTwelveTaskFragmentReceived:_7287',b'12' 
b'doubleTwelveTaskFragmentReceived:_347321',b'21' 
b'doubleTwelveTaskFragmentReceived:_766040',b'4' 
b'doubleTwelveTaskFragmentReceived:_872022',b'6' 
b'doubleTwelveTaskFragmentReceived:_903410',b'3' 
b'doubleTwelveTaskFragmentReceived:_731485',b'6' 
b'doubleTwelveTaskFragmentReceived:_175943',b'9' 
b'doubleTwelveTaskFragmentReceived:_244479',b'11' 
b'doubleTwelveTaskFragmentReceived:_590772',b'3' 
b'doubleTwelveTaskFragmentReceived:_583205',b'3' 
b'doubleTwelveTaskFragmentReceived:_828281',b'2' 
b'doubleTwelveTaskFragmentReceived:_995436',b'9' 
b'doubleTwelveTaskFragmentReceived:_1040719',b'3' 
b'doubleTwelveTaskFragmentReceived:_324610',b'2' 
b'doubleTwelveTaskFragmentReceived:_268561',b'3' 
b'doubleTwelveTaskFragmentReceived:_378963',b'9' 
b'doubleTwelveTaskFragmentReceived:_962713',b'5' 
b'doubleTwelveTaskFragmentReceived:_486651',b'7' 
b'doubleTwelveTaskFragmentReceived:_756066',b'6' 
b'doubleTwelveTaskFragmentReceived:_603561',b'8' 
b'doubleTwelveTaskFragmentReceived:_9788',b'3' 
b'doubleTwelveTaskFragmentReceived:_977131',b'3' 
b'doubleTwelveTaskFragmentReceived:_905124',b'6' 
b'doubleTwelveTaskFragmentReceived:_546292',b'10' 
b'doubleTwelveTaskFragmentReceived:_923048',b'8' 
b'doubleTwelveTaskFragmentReceived:_455188',b'6' 
b'doubleTwelveTaskFragmentReceived:_848984',b'3' 
b'doubleTwelveTaskFragmentReceived:_924563',b'12' 
b'doubleTwelveTaskFragmentReceived:_950232',b'6' 
b'doubleTwelveTaskFragmentReceived:_1022309',b'3' 
b'doubleTwelveTaskFragmentReceived:_902503',b'3' 
b'doubleTwelveTaskFragmentReceived:_643039',b'8' 
b'doubleTwelveTaskFragmentReceived:_870385',b'8' 
b'doubleTwelveTaskFragmentReceived:_997492',b'4' 
b'doubleTwelveTaskFragmentReceived:_1088007',b'3' 
b'doubleTwelveTaskFragmentReceived:_832620',b'8' 
b'doubleTwelveTaskFragmentReceived:_25362',b'3' 
b'doubleTwelveTaskFragmentReceived:_688273',b'2' 
b'doubleTwelveTaskFragmentReceived:_230788',b'8' 
b'doubleTwelveTaskFragmentReceived:_873403',b'15' 
b'doubleTwelveTaskFragmentReceived:_717069',b'8' 
b'doubleTwelveTaskFragmentReceived:_264415',b'15' 
b'doubleTwelveTaskFragmentReceived:_932662',b'2' 
b'doubleTwelveTaskFragmentReceived:_508293',b'5' 
b'doubleTwelveTaskFragmentReceived:_754373',b'4' 
b'doubleTwelveTaskFragmentReceived:_19476',b'15' 
b'doubleTwelveTaskFragmentReceived:_612683',b'11' 
b'doubleTwelveTaskFragmentReceived:_525015',b'5' 
b'doubleTwelveTaskFragmentReceived:_868607',b'11' 
b'doubleTwelveTaskFragmentReceived:_867452',b'12' 
b'doubleTwelveTaskFragmentReceived:_241284',b'17' 
b'doubleTwelveTaskFragmentReceived:_266160',b'5' 
b'doubleTwelveTaskFragmentReceived:_331204',b'3' 
b'doubleTwelveTaskFragmentReceived:_10741',b'12' 
b'doubleTwelveTaskFragmentReceived:_574405',b'15' 
b'doubleTwelveTaskFragmentReceived:_1030058',b'3' 
b'doubleTwelveTaskFragmentReceived:_1079467',b'6' 
b'doubleTwelveTaskFragmentReceived:_191394',b'6' 
b'doubleTwelveTaskFragmentReceived:_985082',b'5' 
b'doubleTwelveTaskFragmentReceived:_836552',b'3' 
b'doubleTwelveTaskFragmentReceived:_1033407',b'3' 
b'doubleTwelveTaskFragmentReceived:_988397',b'8' 
b'doubleTwelveTaskFragmentReceived:_500891',b'12' 
b'doubleTwelveTaskFragmentReceived:_1031431',b'13' 
b'doubleTwelveTaskFragmentReceived:_1087422',b'3' 
b'doubleTwelveTaskFragmentReceived:_938018',b'9' 
b'doubleTwelveTaskFragmentReceived:_601297',b'3' 
b'doubleTwelveTaskFragmentReceived:_190766',b'3' 
b'doubleTwelveTaskFragmentReceived:_200486',b'3' 
b'doubleTwelveTaskFragmentReceived:_1090523',b'3' 
b'doubleTwelveTaskFragmentReceived:_429711',b'9' 
b'doubleTwelveTaskFragmentReceived:_463597',b'3' 
b'doubleTwelveTaskFragmentReceived:_815162',b'3' 
b'doubleTwelveTaskFragmentReceived:_915445',b'6' 
b'doubleTwelveTaskFragmentReceived:_1004592',b'6' 
